colour,email_address,full_name,id,job_title,,mugshot_url_template,parent,statistic_1,statistic_2,summary,web_url,phone_numbers
#FFFFFF,,Philippine Red Cross,a,National Society,,./data/logo.png,,,,,http://www.redcross.org.ph/images/logo.png,
#B4DCFA,,Executive,b,Staff,,./data/logo.png,a,,,,,
#B4DCFA,,Management,c,Staff,,./data/logo.png,b,,,,,
#B4DCFA,,Gwendolyn T. Pang D. Hum.,101,Secretary General,,./data/logo.png,c,,,,,
#B4DCFA,,Alexander Rosete,102,Assistant To The Secretary General OIC Office of The Board And Communications Office,,./data/logo.png,101,,,,,
#B4DCFA,,George Gamonga,103, Internal Audit Office,,./data/logo.png,101,,,,,
#B4DCFA,,Eric Matnog,104, International Relations And Strategic Partnership Office,,./data/logo.png,101,,,,,
#B4DCFA,,Rudellyn Cabutin,105,Chapter Development,,./data/logo.png,101,,,,,
#B4DCFA,,Reynaldo Menorias,106,Management Information System,,./data/logo.png,101,,,,,
#B4DCFA,,Catherine Larracas,107,Planning Monitoring Evaluation And Reporting Office,,./data/logo.png,101,,,,,
#B4DCFA,,Manuel C. Santos Jr.,108,International Humanitarian Law Office,,./data/logo.png,101,,,,,
#B4DCFA,,May Carol Layugan,109,Operations Center,,./data/logo.png,101,,,,,
#B4DCFA,,Elizabeth Zavalla,110,Assistant Secretary General For Programs And Services,,./data/logo.png,101,,,,,
#B4DCFA,,Roderick Salve,111,Disaster Management Services,,./data/logo.png,110,,,,,
#B4DCFA,,Leonardo Ebajo,112, Emergency Response,,./data/logo.png,110,,,,,
#B4DCFA,,Zenaida Beltejar,113, Social Services,,./data/logo.png,110,,,,,
#B4DCFA,,"Ann Claire Reyta, MD..",114, Health Services,,./data/logo.png,110,,,,,
#B4DCFA,,Ryan Jay Jopia,115, Volunteer Red Cross Youth Office,,./data/logo.png,110,,,,,
#B4DCFA,,Bernabe Bacani,116, Safety Services,,./data/logo.png,110,,,,,
#B4DCFA,,"Christie Monina Nalupta, MD..",117,Director National Blood Services,,./data/logo.png,101,,,,,
#B4DCFA,,"Edmundo Marra, MD..",118, National Blood Center,,./data/logo.png,117,,,,,
#B4DCFA,,"Malou Fuentes, MD..",119, PRC Tower,,./data/logo.png,117,,,,,
#B4DCFA,,Renato Hapan,120, National Blood Center,,./data/logo.png,117,,,,,
#B4DCFA,,Fund Generation,121,Department,,./data/logo.png,117,,,,,
#B4DCFA,,Marie Joy Materum,122, Corporate Relations And Online Gift Giving,,./data/logo.png,101,,,,,
#B4DCFA,,Eduardo Buena,123, Membership And Fund Drive,,./data/logo.png,122,,,,,
#B4DCFA,,Ma. Ana Buensuceso,124, Finance,,./data/logo.png,101,,,,,
#B4DCFA,,Ronald Almazan,125,Chief Accountant,,./data/logo.png,124,,,,,
#B4DCFA,,Alex Lantin,126, Treasury,,./data/logo.png,124,,,,,
#B4DCFA,,Fe Aglipay,127, Human Resources,,./data/logo.png,101,,,,,
#B4DCFA,,Susan Manalo,128, General Services,,./data/logo.png,127,,,,,
#B4DCFA,,Rita Cecilia Tobias,129, Logistics,,./data/logo.png,127,,,,,
#4E67C8,,Board of Governors,200,Members,,./data/logo.png,a,,,,,
#4E67C8,,Officers,201,Members,,./data/logo.png,200,,,,,
#4E67C8,,Richard J. Gordon,202,Chairman,,./data/logo.png,201,,,,,
#4E67C8,,Juan Miguel F. Zubiri,203,Vice Chairman,,./data/logo.png,201,,,,,
#4E67C8,,Corazon Alma G. De Leon,204,Secretary,,./data/logo.png,201,,,,,
#4E67C8,,James G. Dy,205,Treasurer,,./data/logo.png,201,,,,,
#4E67C8,,Lorna P. Kapunan,206,Counsellor,,./data/logo.png,201,,,,,
#4E67C8,,Rodolfo O. Reyes,207,Assistant Secretary/corporate Secretary,,./data/logo.png,201,,,,,
#4E67C8,,Rosalind L. Wee,208,Assistant Treasurer,,./data/logo.png,201,,,,,
#F14124,,Members,210,Member,,./data/logo.png,200,,,,,
#F14124,,Joanne Zapanta-andrada,211,Member,,./data/logo.png,210,,,,,
#F14124,,Ma. Rachel J. Arenas,212,Member,,./data/logo.png,210,,,,,
#F14124,,Armand C. Arreza,213,Member,,./data/logo.png,210,,,,,
#F14124,,Sara Duterte-carpio,214,Member,,./data/logo.png,210,,,,,
#F14124,,Danilo L. Concepcion,215,Member,,./data/logo.png,210,,,,,
#F14124,,Carissa O. Coscolluela,216,Member,,./data/logo.png,210,,,,,
#F14124,,Dakila Carlo E. Cua,217,Member,,./data/logo.png,210,,,,,
#F14124,,Leslie W. Espino,218,Member,,./data/logo.png,210,,,,,
#F14124,,Margarita A. Fores,219,Member,,./data/logo.png,210,,,,,
#F14124,,Reynard Leo A. Francisco,220,Member,,./data/logo.png,210,,,,,
#F14124,,Sherwin T. Gatchalian,221,Member,,./data/logo.png,210,,,,,
#F14124,,Ernesto S. Isla,222,Member,,./data/logo.png,210,,,,,
#F14124,,Francis Joseph J. Jalandoni,223,Member,,./data/logo.png,210,,,,,
#F14124,,Marie Antonette S. Leviste,224,Member,,./data/logo.png,210,,,,,
#F14124,,Celso L. Lobregat,225,Member,,./data/logo.png,210,,,,,
#F14124,,Mario R. Nery,226,Member,,./data/logo.png,210,,,,,
#F14124,,Andrew O. Nocon,227,Member,,./data/logo.png,210,,,,,
#F14124,,Leonida B. Ortiz,228,Member,,./data/logo.png,210,,,,,
#F14124,,Adrian C. Pabayo,229,Member,,./data/logo.png,210,,,,,
#F14124,,Mabini F. Pablo,230,Member,,./data/logo.png,210,,,,,
#F14124,,Rosa Rosal,231,Member,,./data/logo.png,210,,,,,
#F14124,,Wilma Amoranto-sarino,232,Member,,./data/logo.png,210,,,,,
#F14124,,Monica Siguion Reyna-villonco,233,Member,,./data/logo.png,210,,,,,
#A7EA52,,Chapters,10000,Chapter Offices,,./data/logo.png,a,,,,,
#A7EA52,,Bicol Region,10001,Region,,./data/logo.png,10000,,,Bicol Region,,
#A7EA52,Sorsogon@redcross.org.ph,Sorsogon,10002,Chapter,,./data/logo.png,10001,,,Bicol Region,,
#A7EA52,,Mrs. Salvacion L. Abotanatin,20001,Administrator,,./data/logo.png,10002,,,Bicol Region,,
#A7EA52,,Atty. Arnulfo L.perete,20002,Chairman,,./data/logo.png,10002,,,Bicol Region,,
#A7EA52,Albay@redcross.org.ph,Albay - Legaspi City,10003,Chapter,,./data/logo.png,10001,,,Bicol Region,,
#A7EA52,,Mr. Gerald R. Gapayao,30001,Administrator,,./data/logo.png,10003,,,Bicol Region,,
#A7EA52,,"Rodolfo P. Ante,  MD..",30002,Chairman,,./data/logo.png,10003,,,Bicol Region,,
#A7EA52,Camarines.norte@redcross.org.ph,Camarines Norte,10004,Chapter,,./data/logo.png,10001,,,Bicol Region,,
#A7EA52,,Mr. Ferdinand Salvador Q. Ferre,40001,Administrator,,./data/logo.png,10004,,,Bicol Region,,
#A7EA52,,Dir. Josefina B. Tallado,40002,Chairman,,./data/logo.png,10004,,,Bicol Region,,
#A7EA52,Camarines.sur@redcross.org.ph,Camarines Sur,10005,Chapter,,./data/logo.png,10001,,,Bicol Region,,
#A7EA52,,Mrs. Nanette E. Rodrigazo,50001,Administrator,,./data/logo.png,10005,,,Bicol Region,,
#A7EA52,,Dir.pedrito M. Servano,50002,Chairman,,./data/logo.png,10005,,,Bicol Region,,
#A7EA52,Catanduanes@redcross.org.ph,Catanduanes,10006,Chapter,,./data/logo.png,10001,,,Bicol Region,,
#A7EA52,,Mr. Reymund A. Reginaldo,60001,Administrator,,./data/logo.png,10006,,,Bicol Region,,
#A7EA52,,Dir. Gabriel T. Tejerero,6002,Chairman,,./data/logo.png,10006,,,Bicol Region,,
#A7EA52,Masbate@redcross.org.ph,Masbate,10007,Chapter,,./data/logo.png,10001,,,Bicol Region,,
#A7EA52,,Mrs. Amparo D. Perez,70001,Administrator,,./data/logo.png,10007,,,Bicol Region,,
#A7EA52,,Dir. Ruby Sanchez-morano,70002,Chairman,,./data/logo.png,10007,,,Bicol Region,,
#A7EA52,,Mindanao Region,100010,Region,,./data/logo.png,10000,,,Mindanao Region,,
#A7EA52,Basilan@redcross.org.ph,Basilan,100013,Sub - Chapter,,./data/logo.png,100039,,,Mindanao Region,,
#A7EA52,,Mr.jonathan L.cabayao,130001,Administrator,,./data/logo.png,100013,,,Mindanao Region,,
#A7EA52,,Dir. Bernardita F. Hontucan,130002,Chairman,,./data/logo.png,100013,,,Mindanao Region,,
#A7EA52,Bukidnon@redcross.org.ph,Bukidnon,100014,Chapter,,./data/logo.png,100010,,,Mindanao Region,,
#A7EA52,,Ms. Jocelyn  A. Daroy,140001,Administrator,,./data/logo.png,100014,,,Mindanao Region,,
#A7EA52,,Hon. Leandro Jose H.catarata,140002,Chairman,,./data/logo.png,100014,,,Mindanao Region,,
#A7EA52,Camiguin@redcross.org.ph,Camiguin,100015,Sub - Chapter,,./data/logo.png,100028,,,Mindanao Region,,
#A7EA52,,Information unavailable... ,150001,Administrator,,./data/logo.png,100015,,,Mindanao Region,,
#A7EA52,,Information unavailable... ,150002,Chairman,,./data/logo.png,100015,,,Mindanao Region,,
#A7EA52,Compostela.valley@redcross.org.ph,Compostela Valley,100016,Chapter,,./data/logo.png,100010,,,Mindanao Region,,
#A7EA52,,Mr. Joseph Randy M. Loy,160001,Administrator,,./data/logo.png,100016,,,Mindanao Region,,
#A7EA52,,Dir. Louie I. Zerrudo,160002,Chairman,,./data/logo.png,100016,,,Mindanao Region,,
#A7EA52,Cotabato@redcross.org.ph,Cotabato,100017,Chapter,,./data/logo.png,100010,,,Mindanao Region,,
#A7EA52,,Mr. Ricardo D. Quintayo,170001,Administrator,,./data/logo.png,100017,,,Mindanao Region,,
#A7EA52,,Dir. Bai Fatima  P. Sinsuat,170002,Chairman,,./data/logo.png,100017,,,Mindanao Region,,
#A7EA52,Davaocity@redcross.org.ph,Davao City,100018,Chapter,,./data/logo.png,100010,,,Mindanao Region,,
#A7EA52,,"Mr. Rogelio U. Aca, Jr.",180001,Administrator,,./data/logo.png,100018,,,Mindanao Region,,
#A7EA52,,Dir. Eduardo G. Robillo,180002,Chairman,,./data/logo.png,100018,,,Mindanao Region,,
#A7EA52,Davao@redcross.org.ph,Davao Del Norte,100019,Chapter,,./data/logo.png,100010,,,Mindanao Region,,
#A7EA52,,Mrs.luzviminda C. Neri,190001,Administrator,,./data/logo.png,100019,,,Mindanao Region,,
#A7EA52,,Gov. Rodolfo P. Del Rosario,190002,Chairman,,./data/logo.png,100019,,,Mindanao Region,,
#A7EA52,Davao.sur@redcross.org.ph,Davao Del Sur,100020,Chapter,,./data/logo.png,100010,,,Mindanao Region,,
#A7EA52,,Mrs. Helen D. Caberto,200001,Administrator,,./data/logo.png,100020,,,Mindanao Region,,
#A7EA52,,Dir. Alan A. Kintanar,200002,Chairman,,./data/logo.png,100020,,,Mindanao Region,,
#A7EA52,Davao.oriental@redcross.org.ph,Davao Oriental,100021,Chapter,,./data/logo.png,100010,,,Mindanao Region,,
#A7EA52,,Mrs. Catherine Krm Y. Bijis,210001,Administrator,,./data/logo.png,100021,,,Mindanao Region,,
#A7EA52,,Dir.cesar De Erio,210002,Chairman,,./data/logo.png,100021,,,Mindanao Region,,
#A7EA52,Generalsantos@redcross.org.ph,General Santos City,100022,Chapter,,./data/logo.png,100010,,,Mindanao Region,,
#A7EA52,,Mrs. Merlita U. Gludo,220001,Administrator,,./data/logo.png,100022,,,Mindanao Region,,
